,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
233,1,1,2,2,2,1,1,0,2,7
234,0,0,0,0,0,0,0,0,0,4
235,0,0,0,0,1,0,0,0,0,0
236,2,0,0,0,1,0,0,0,0,3
237,2,0,0,1,1,0,0,0,0,5
238,2,0,0,1,1,2,0,0,0,2
239,2,0,1,1,1,2,0,0,0,6
240,2,0,1,1,1,2,2,0,0,7
241,2,0,1,1,1,2,2,1,0,1
242,2,2,1,1,1,2,2,1,0,8
243,0,0,0,0,0,0,0,0,0,4
244,0,0,0,0,1,0,0,0,0,0
245,2,0,0,0,1,0,0,0,0,1
246,2,1,0,0,1,0,0,0,0,7
247,2,1,0,0,1,0,0,2,0,6
248,2,1,0,0,1,0,1,2,0,2
249,2,1,2,0,1,0,1,2,0,5
250,2,1,2,0,1,1,1,2,0,3
251,2,1,2,2,1,1,1,2,0,8
252,0,0,0,0,0,0,0,0,0,4
253,0,0,0,0,1,0,0,0,0,0
254,2,0,0,0,1,0,0,0,0,3
255,2,0,0,1,1,0,0,0,0,5
256,2,0,0,1,1,2,0,0,0,2
257,2,0,1,1,1,2,0,0,0,6
258,2,0,1,1,1,2,2,0,0,7
259,2,0,1,1,1,2,2,1,0,1
260,2,2,1,1,1,2,2,1,0,8
261,0,0,0,0,0,0,0,0,0,0
262,1,0,0,0,0,0,0,0,0,4
263,1,0,0,0,2,0,0,0,0,6
264,1,0,0,0,2,0,1,0,0,3
265,1,0,0,2,2,0,1,0,0,1
266,1,1,0,2,2,0,1,0,0,2
267,1,1,2,2,2,0,1,0,0,5
268,1,1,2,2,2,1,1,0,0,8
269,1,1,2,2,2,1,1,0,2,7
270,0,0,0,0,0,0,0,0,0,4
271,0,0,0,0,1,0,0,0,0,0
272,2,0,0,0,1,0,0,0,0,3
273,2,0,0,1,1,0,0,0,0,5
274,2,0,0,1,1,2,0,0,0,2
275,2,0,1,1,1,2,0,0,0,6
276,2,0,1,1,1,2,2,0,0,7
277,2,0,1,1,1,2,2,1,0,1
278,2,2,1,1,1,2,2,1,0,8
279,0,0,0,0,0,0,0,0,0,4
280,0,0,0,0,1,0,0,0,0,0
281,2,0,0,0,1,0,0,0,0,3
282,2,0,0,1,1,0,0,0,0,5
283,2,0,0,1,1,2,0,0,0,2
284,2,0,1,1,1,2,0,0,0,6
285,2,0,1,1,1,2,2,0,0,7
286,2,0,1,1,1,2,2,1,0,1
287,2,2,1,1,1,2,2,1,0,8
288,0,0,0,0,0,0,0,0,0,4
289,0,0,0,0,1,0,0,0,0,0
