,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
200,2,0,0,1,1,2,0,0,0,2
201,2,0,1,1,1,2,0,0,0,6
202,2,0,1,1,1,2,2,0,0,1
203,2,1,1,1,1,2,2,0,0,7
204,2,1,1,1,1,2,2,2,0,8
205,0,0,0,0,0,0,0,0,0,3
206,0,0,0,1,0,0,0,0,0,4
207,0,0,0,1,2,0,0,0,0,6
208,0,0,0,1,2,0,1,0,0,0
209,2,0,0,1,2,0,1,0,0,8
210,2,0,0,1,2,0,1,0,1,1
211,2,2,0,1,2,0,1,0,1,2
212,2,2,1,1,2,0,1,0,1,7
213,0,0,0,0,0,0,0,0,0,4
214,0,0,0,0,1,0,0,0,0,0
215,2,0,0,0,1,0,0,0,0,6
216,2,0,0,0,1,0,1,0,0,2
217,2,0,2,0,1,0,1,0,0,1
218,2,1,2,0,1,0,1,0,0,7
219,2,1,2,0,1,0,1,2,0,3
220,2,1,2,1,1,0,1,2,0,5
221,2,1,2,1,1,2,1,2,0,8
222,0,0,0,0,0,0,0,0,0,6
223,0,0,0,0,0,0,1,0,0,4
224,0,0,0,0,2,0,1,0,0,0
225,1,0,0,0,2,0,1,0,0,3
226,1,0,0,2,2,0,1,0,0,7
227,1,0,0,2,2,0,1,1,0,5
228,0,0,0,0,0,0,0,0,0,0
229,1,0,0,0,0,0,0,0,0,4
230,1,0,0,0,2,0,0,0,0,2
231,1,0,1,0,2,0,0,0,0,1
232,1,2,1,0,2,0,0,0,0,7
233,1,2,1,0,2,0,0,1,0,5
234,1,2,1,0,2,2,0,1,0,3
235,1,2,1,1,2,2,0,1,0,6
236,1,2,1,1,2,2,2,1,0,8
237,0,0,0,0,0,0,0,0,0,6
238,0,0,0,0,0,0,1,0,0,4
239,0,0,0,0,2,0,1,0,0,0
240,1,0,0,0,2,0,1,0,0,3
241,1,0,0,2,2,0,1,0,0,5
242,1,0,0,2,2,1,1,0,0,1
243,1,2,0,2,2,1,1,0,0,7
244,1,2,0,2,2,1,1,1,0,8
245,1,2,0,2,2,1,1,1,2,2
246,0,0,0,0,0,0,0,0,0,3
247,0,0,0,1,0,0,0,0,0,4
248,0,0,0,1,2,0,0,0,0,0
249,1,0,0,1,2,0,0,0,0,6
250,1,0,0,1,2,0,2,0,0,2
251,1,0,1,1,2,0,2,0,0,1
252,1,2,1,1,2,0,2,0,0,7
253,1,2,1,1,2,0,2,1,0,5
254,1,2,1,1,2,2,2,1,0,8
255,0,0,0,0,0,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0,4
257,1,0,0,0,2,0,0,0,0,6
258,1,0,0,0,2,0,1,0,0,3
259,1,0,0,2,2,0,1,0,0,1
260,1,1,0,2,2,0,1,0,0,2
261,1,1,2,2,2,0,1,0,0,5
262,1,1,2,2,2,1,1,0,0,7
263,1,1,2,2,2,1,1,2,0,8
264,0,0,0,0,0,0,0,0,0,6
265,0,0,0,0,0,0,1,0,0,4
266,0,0,0,0,2,0,1,0,0,0
267,1,0,0,0,2,0,1,0,0,3
268,1,0,0,2,2,0,1,0,0,1
269,1,1,0,2,2,0,1,0,0,2
270,1,1,2,2,2,0,1,0,0,5
271,1,1,2,2,2,1,1,0,0,8
272,1,1,2,2,2,1,1,0,2,7
273,0,0,0,0,0,0,0,0,0,4
274,0,0,0,0,1,0,0,0,0,0
275,2,0,0,0,1,0,0,0,0,2
276,2,0,1,0,1,0,0,0,0,6
277,2,0,1,0,1,0,2,0,0,3
278,2,0,1,1,1,0,2,0,0,5
279,2,0,1,1,1,2,2,0,0,7
280,2,0,1,1,1,2,2,1,0,1
281,2,2,1,1,1,2,2,1,0,8
282,0,0,0,0,0,0,0,0,0,4
283,0,0,0,0,1,0,0,0,0,0
284,2,0,0,0,1,0,0,0,0,2
285,2,0,1,0,1,0,0,0,0,6
286,2,0,1,0,1,0,2,0,0,3
287,2,0,1,1,1,0,2,0,0,5
288,2,0,1,1,1,2,2,0,0,1
289,2,1,1,1,1,2,2,0,0,7
290,2,1,1,1,1,2,2,2,0,8
291,0,0,0,0,0,0,0,0,0,3
292,0,0,0,1,0,0,0,0,0,0
293,2,0,0,1,0,0,0,0,0,4
294,2,0,0,1,1,0,0,0,0,5
295,2,0,0,1,1,2,0,0,0,2
296,2,0,1,1,1,2,0,0,0,6
297,2,0,1,1,1,2,2,0,0,7
298,2,0,1,1,1,2,2,1,0,1
299,2,2,1,1,1,2,2,1,0,8
300,0,0,0,0,0,0,0,0,0,4
301,0,0,0,0,1,0,0,0,0,0
302,2,0,0,0,1,0,0,0,0,2
303,2,0,1,0,1,0,0,0,0,6
304,2,0,1,0,1,0,2,0,0,3
305,2,0,1,1,1,0,2,0,0,5
306,2,0,1,1,1,2,2,0,0,1
307,2,1,1,1,1,2,2,0,0,7
308,2,1,1,1,1,2,2,2,0,8
309,0,0,0,0,0,0,0,0,0,4
310,0,0,0,0,1,0,0,0,0,0
311,2,0,0,0,1,0,0,0,0,6
312,2,0,0,0,1,0,1,0,0,2
313,2,0,2,0,1,0,1,0,0,1
314,2,1,2,0,1,0,1,0,0,7
315,2,1,2,0,1,0,1,2,0,3
316,2,1,2,1,1,0,1,2,0,5
317,2,1,2,1,1,2,1,2,0,8
318,0,0,0,0,0,0,0,0,0,0
319,1,0,0,0,0,0,0,0,0,4
320,1,0,0,0,2,0,0,0,0,8
321,1,0,0,0,2,0,0,0,1,2
322,1,0,2,0,2,0,0,0,1,6
323,1,0,2,0,2,0,1,0,1,3
324,1,0,2,2,2,0,1,0,1,5
325,1,0,2,2,2,1,1,0,1,7
326,1,0,2,2,2,1,1,2,1,1
327,0,0,0,0,0,0,0,0,0,8
328,0,0,0,0,0,0,0,0,1,0
329,2,0,0,0,0,0,0,0,1,2
330,2,0,1,0,0,0,0,0,1,6
331,2,0,1,0,0,0,2,0,1,3
332,2,0,1,1,0,0,2,0,1,5
333,2,0,1,1,0,2,2,0,1,7
334,2,0,1,1,0,2,2,1,1,1
335,2,2,1,1,0,2,2,1,1,4
336,0,0,0,0,0,0,0,0,0,4
337,0,0,0,0,1,0,0,0,0,0
338,2,0,0,0,1,0,0,0,0,1
339,2,1,0,0,1,0,0,0,0,7
340,2,1,0,0,1,0,0,2,0,6
341,2,1,0,0,1,0,1,2,0,2
342,2,1,2,0,1,0,1,2,0,5
343,2,1,2,0,1,1,1,2,0,3
344,2,1,2,2,1,1,1,2,0,8
345,0,0,0,0,0,0,0,0,0,3
346,0,0,0,1,0,0,0,0,0,4
347,0,0,0,1,2,0,0,0,0,6
348,0,0,0,1,2,0,1,0,0,0
349,2,0,0,1,2,0,1,0,0,8
350,2,0,0,1,2,0,1,0,1,1
351,2,2,0,1,2,0,1,0,1,2
352,2,2,1,1,2,0,1,0,1,7
353,0,0,0,0,0,0,0,0,0,0
354,1,0,0,0,0,0,0,0,0,4
355,1,0,0,0,2,0,0,0,0,7
356,1,0,0,0,2,0,0,1,0,2
357,1,0,2,0,2,0,0,1,0,6
358,1,0,2,0,2,0,1,1,0,3
359,1,0,2,2,2,0,1,1,0,5
360,1,0,2,2,2,1,1,1,0,8
361,1,0,2,2,2,1,1,1,2,1
362,0,0,0,0,0,0,0,0,0,0
363,1,0,0,0,0,0,0,0,0,4
364,1,0,0,0,2,0,0,0,0,2
365,1,0,1,0,2,0,0,0,0,1
366,1,2,1,0,2,0,0,0,0,3
367,1,2,1,1,2,0,0,0,0,6
368,1,2,1,1,2,0,2,0,0,7
369,1,2,1,1,2,0,2,1,0,5
370,1,2,1,1,2,2,2,1,0,8
371,0,0,0,0,0,0,0,0,0,0
372,1,0,0,0,0,0,0,0,0,4
373,1,0,0,0,2,0,0,0,0,1
374,1,1,0,0,2,0,0,0,0,2
375,1,1,2,0,2,0,0,0,0,6
376,1,1,2,0,2,0,1,0,0,3
377,1,1,2,2,2,0,1,0,0,5
378,1,1,2,2,2,1,1,0,0,7
379,1,1,2,2,2,1,1,2,0,8
380,0,0,0,0,0,0,0,0,0,4
381,0,0,0,0,1,0,0,0,0,0
382,2,0,0,0,1,0,0,0,0,3
383,2,0,0,1,1,0,0,0,0,5
384,2,0,0,1,1,2,0,0,0,2
385,2,0,1,1,1,2,0,0,0,6
386,2,0,1,1,1,2,2,0,0,1
387,2,1,1,1,1,2,2,0,0,7
388,2,1,1,1,1,2,2,2,0,8
