,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
362,2,1,0,1,1,2,0,2,0,6
363,2,1,0,1,1,2,1,2,0,2
364,2,1,2,1,1,2,1,2,0,8
365,0,0,0,0,0,0,0,0,0,0
366,1,0,0,0,0,0,0,0,0,4
367,1,0,0,0,2,0,0,0,0,2
368,1,0,1,0,2,0,0,0,0,1
369,1,2,1,0,2,0,0,0,0,3
370,1,2,1,1,2,0,0,0,0,6
371,1,2,1,1,2,0,2,0,0,7
372,1,2,1,1,2,0,2,1,0,8
373,1,2,1,1,2,0,2,1,2,5
374,0,0,0,0,0,0,0,0,0,0
375,1,0,0,0,0,0,0,0,0,4
376,1,0,0,0,2,0,0,0,0,2
377,1,0,1,0,2,0,0,0,0,1
378,1,2,1,0,2,0,0,0,0,7
379,1,2,1,0,2,0,0,1,0,3
380,1,2,1,2,2,0,0,1,0,5
381,1,2,1,2,2,1,0,1,0,8
382,1,2,1,2,2,1,0,1,2,6
383,0,0,0,0,0,0,0,0,0,2
384,0,0,1,0,0,0,0,0,0,0
385,2,0,1,0,0,0,0,0,0,4
386,2,0,1,0,1,0,0,0,0,6
387,2,0,1,0,1,0,2,0,0,3
388,2,0,1,1,1,0,2,0,0,5
389,2,0,1,1,1,2,2,0,0,7
390,2,0,1,1,1,2,2,1,0,1
391,2,2,1,1,1,2,2,1,0,8
392,0,0,0,0,0,0,0,0,0,6
393,0,0,0,0,0,0,1,0,0,0
394,2,0,0,0,0,0,1,0,0,2
395,2,0,1,0,0,0,1,0,0,4
396,2,0,1,0,2,0,1,0,0,8
397,2,0,1,0,2,0,1,0,1,7
398,2,0,1,0,2,0,1,2,1,1
399,2,1,1,0,2,0,1,2,1,5
400,2,1,1,0,2,2,1,2,1,3
401,0,0,0,0,0,0,0,0,0,0
402,1,0,0,0,0,0,0,0,0,4
403,1,0,0,0,2,0,0,0,0,3
404,1,0,0,1,2,0,0,0,0,6
405,1,0,0,1,2,0,2,0,0,2
406,1,0,1,1,2,0,2,0,0,1
407,1,2,1,1,2,0,2,0,0,7
408,1,2,1,1,2,0,2,1,0,5
409,1,2,1,1,2,2,2,1,0,8
410,0,0,0,0,0,0,0,0,0,4
411,0,0,0,0,1,0,0,0,0,0
412,2,0,0,0,1,0,0,0,0,2
413,2,0,1,0,1,0,0,0,0,6
414,2,0,1,0,1,0,2,0,0,3
415,2,0,1,1,1,0,2,0,0,5
416,2,0,1,1,1,2,2,0,0,1
417,2,1,1,1,1,2,2,0,0,7
418,2,1,1,1,1,2,2,2,0,8
419,0,0,0,0,0,0,0,0,0,4
420,0,0,0,0,1,0,0,0,0,0
421,2,0,0,0,1,0,0,0,0,2
422,2,0,1,0,1,0,0,0,0,6
423,2,0,1,0,1,0,2,0,0,3
424,2,0,1,1,1,0,2,0,0,5
425,2,0,1,1,1,2,2,0,0,7
426,2,0,1,1,1,2,2,1,0,1
427,2,2,1,1,1,2,2,1,0,8
428,0,0,0,0,0,0,0,0,0,0
429,1,0,0,0,0,0,0,0,0,4
430,1,0,0,0,2,0,0,0,0,2
431,1,0,1,0,2,0,0,0,0,1
432,1,2,1,0,2,0,0,0,0,5
433,1,2,1,0,2,1,0,0,0,7
434,0,0,0,0,0,0,0,0,0,0
435,1,0,0,0,0,0,0,0,0,4
436,1,0,0,0,2,0,0,0,0,6
437,1,0,0,0,2,0,1,0,0,3
438,1,0,0,2,2,0,1,0,0,1
439,1,1,0,2,2,0,1,0,0,2
440,1,1,2,2,2,0,1,0,0,5
441,1,1,2,2,2,1,1,0,0,7
442,1,1,2,2,2,1,1,2,0,8
443,0,0,0,0,0,0,0,0,0,4
444,0,0,0,0,1,0,0,0,0,0
445,2,0,0,0,1,0,0,0,0,7
446,2,0,0,0,1,0,0,1,0,6
447,2,0,0,0,1,0,2,1,0,3
448,2,0,0,1,1,0,2,1,0,1
449,2,2,0,1,1,0,2,1,0,2
450,2,2,1,1,1,0,2,1,0,5
451,2,2,1,1,1,2,2,1,0,8
452,0,0,0,0,0,0,0,0,0,2
453,0,0,1,0,0,0,0,0,0,0
454,2,0,1,0,0,0,0,0,0,5
455,2,0,1,0,0,1,0,0,0,4
456,2,0,1,0,2,1,0,0,0,8
457,0,0,0,0,0,0,0,0,0,4
458,0,0,0,0,1,0,0,0,0,0
459,2,0,0,0,1,0,0,0,0,2
