,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
354,1,2,0,0,0,0,0,0,0,1,4
355,1,2,0,0,1,0,0,0,0,2,7
356,1,2,0,0,1,0,0,2,0,1,6
357,1,2,0,0,1,0,1,2,0,2,8
358,1,2,0,0,1,0,1,2,2,1,3
359,0,0,0,0,0,0,0,0,0,1,4
360,0,0,0,0,1,0,0,0,0,2,5
361,0,0,0,0,1,2,0,0,0,1,0
362,1,0,0,0,1,2,0,0,0,2,6
363,1,0,0,0,1,2,2,0,0,1,8
364,0,0,0,0,0,0,0,0,0,1,0
365,1,0,0,0,0,0,0,0,0,2,3
366,1,0,0,2,0,0,0,0,0,1,4
367,1,0,0,2,1,0,0,0,0,2,7
368,1,0,0,2,1,0,0,2,0,1,8
369,0,0,0,0,0,0,0,0,0,1,0
370,1,0,0,0,0,0,0,0,0,2,2
371,1,0,2,0,0,0,0,0,0,1,4
372,1,0,2,0,1,0,0,0,0,2,3
373,1,0,2,2,1,0,0,0,0,1,8
374,0,0,0,0,0,0,0,0,0,1,0
375,1,0,0,0,0,0,0,0,0,2,4
376,1,0,0,0,2,0,0,0,0,1,6
377,1,0,0,0,2,0,1,0,0,2,2
378,1,0,2,0,2,0,1,0,0,1,3
379,0,0,0,0,0,0,0,0,0,1,0
380,1,0,0,0,0,0,0,0,0,2,8
381,1,0,0,0,0,0,0,0,2,1,3
382,1,0,0,1,0,0,0,0,2,2,1
383,1,2,0,1,0,0,0,0,2,1,6
384,0,0,0,0,0,0,0,0,0,1,0
385,1,0,0,0,0,0,0,0,0,2,1
386,1,2,0,0,0,0,0,0,0,1,4
387,1,2,0,0,1,0,0,0,0,2,8
388,1,2,0,0,1,0,0,0,2,1,3
389,1,2,0,1,1,0,0,0,2,2,6
390,1,2,0,1,1,0,2,0,2,1,5
391,0,0,0,0,0,0,0,0,0,1,0
392,1,0,0,0,0,0,0,0,0,2,3
393,1,0,0,2,0,0,0,0,0,1,4
394,1,0,0,2,1,0,0,0,0,2,7
395,1,0,0,2,1,0,0,2,0,1,2
396,1,0,1,2,1,0,0,2,0,2,6
397,1,0,1,2,1,0,2,2,0,1,1
398,0,0,0,0,0,0,0,0,0,1,0
399,1,0,0,0,0,0,0,0,0,2,5
400,1,0,0,0,0,2,0,0,0,1,4
401,1,0,0,0,1,2,0,0,0,2,7
402,1,0,0,0,1,2,0,2,0,1,8
403,0,0,0,0,0,0,0,0,0,1,0
404,1,0,0,0,0,0,0,0,0,2,7
405,1,0,0,0,0,0,0,2,0,1,4
406,1,0,0,0,1,0,0,2,0,2,2
407,1,0,2,0,1,0,0,2,0,1,3
408,1,0,2,1,1,0,0,2,0,2,1
409,1,2,2,1,1,0,0,2,0,1,8
410,0,0,0,0,0,0,0,0,0,1,0
411,1,0,0,0,0,0,0,0,0,2,1
412,1,2,0,0,0,0,0,0,0,1,4
413,1,2,0,0,1,0,0,0,0,2,5
414,1,2,0,0,1,2,0,0,0,1,6
415,1,2,0,0,1,2,1,0,0,2,3
416,1,2,0,2,1,2,1,0,0,1,8
417,0,0,0,0,0,0,0,0,0,1,0
418,1,0,0,0,0,0,0,0,0,2,1
419,1,2,0,0,0,0,0,0,0,1,4
420,1,2,0,0,1,0,0,0,0,2,7
421,1,2,0,0,1,0,0,2,0,1,5
422,1,2,0,0,1,1,0,2,0,2,3
423,1,2,0,2,1,1,0,2,0,1,6
424,1,2,0,2,1,1,1,2,0,2,2
425,1,2,2,2,1,1,1,2,0,1,8
426,0,0,0,0,0,0,0,0,0,1,4
427,0,0,0,0,1,0,0,0,0,2,6
428,0,0,0,0,1,0,2,0,0,1,0
429,1,0,0,0,1,0,2,0,0,2,5
430,1,0,0,0,1,2,2,0,0,1,1
431,1,1,0,0,1,2,2,0,0,2,2
432,1,1,2,0,1,2,2,0,0,1,8
433,0,0,0,0,0,0,0,0,0,1,0
434,1,0,0,0,0,0,0,0,0,2,7
435,1,0,0,0,0,0,0,2,0,1,4
436,1,0,0,0,1,0,0,2,0,2,5
437,1,0,0,0,1,2,0,2,0,1,2
438,1,0,1,0,1,2,0,2,0,2,6
439,1,0,1,0,1,2,2,2,0,1,3
440,1,0,1,1,1,2,2,2,0,2,8
441,0,0,0,0,0,0,0,0,0,1,0
442,1,0,0,0,0,0,0,0,0,2,8
443,1,0,0,0,0,0,0,0,2,1,1
444,1,1,0,0,0,0,0,0,2,2,6
445,1,1,0,0,0,0,2,0,2,1,4
446,1,1,0,0,1,0,2,0,2,2,7
447,0,0,0,0,0,0,0,0,0,1,0
448,1,0,0,0,0,0,0,0,0,2,5
449,1,0,0,0,0,2,0,0,0,1,4
450,1,0,0,0,1,2,0,0,0,2,7
451,1,0,0,0,1,2,0,2,0,1,1
452,1,1,0,0,1,2,0,2,0,2,3
453,1,1,0,2,1,2,0,2,0,1,2
454,0,0,0,0,0,0,0,0,0,1,0
455,1,0,0,0,0,0,0,0,0,2,5
456,1,0,0,0,0,2,0,0,0,1,4
457,1,0,0,0,1,2,0,0,0,2,8
458,1,0,0,0,1,2,0,0,2,1,6
459,1,0,0,0,1,2,1,0,2,2,1
460,1,2,0,0,1,2,1,0,2,1,2
461,0,0,0,0,0,0,0,0,0,1,4
462,0,0,0,0,1,0,0,0,0,2,2
463,0,0,2,0,1,0,0,0,0,1,0
464,1,0,2,0,1,0,0,0,0,2,6
465,1,0,2,0,1,0,2,0,0,1,7
466,1,0,2,0,1,0,2,1,0,2,3
467,1,0,2,2,1,0,2,1,0,1,1
468,0,0,0,0,0,0,0,0,0,1,4
469,0,0,0,0,1,0,0,0,0,2,6
470,0,0,0,0,1,0,2,0,0,1,0
471,1,0,0,0,1,0,2,0,0,2,7
472,1,0,0,0,1,0,2,2,0,1,3
473,1,0,0,1,1,0,2,2,0,2,5
474,1,0,0,1,1,2,2,2,0,1,2
475,1,0,1,1,1,2,2,2,0,2,8
476,0,0,0,0,0,0,0,0,0,1,0
477,1,0,0,0,0,0,0,0,0,2,4
478,1,0,0,0,2,0,0,0,0,1,6
479,1,0,0,0,2,0,1,0,0,2,8
480,1,0,0,0,2,0,1,0,2,1,3
481,0,0,0,0,0,0,0,0,0,1,0
482,1,0,0,0,0,0,0,0,0,2,5
483,1,0,0,0,0,2,0,0,0,1,4
484,1,0,0,0,1,2,0,0,0,2,2
485,1,0,2,0,1,2,0,0,0,1,8
486,0,0,0,0,0,0,0,0,0,1,0
487,1,0,0,0,0,0,0,0,0,2,2
488,1,0,2,0,0,0,0,0,0,1,4
489,1,0,2,0,1,0,0,0,0,2,8
490,1,0,2,0,1,0,0,0,2,1,3
491,1,0,2,1,1,0,0,0,2,2,7
492,1,0,2,1,1,0,0,2,2,1,5
493,0,0,0,0,0,0,0,0,0,1,0
494,1,0,0,0,0,0,0,0,0,2,3
495,1,0,0,2,0,0,0,0,0,1,4
496,1,0,0,2,1,0,0,0,0,2,2
497,1,0,2,2,1,0,0,0,0,1,8
498,0,0,0,0,0,0,0,0,0,1,0
499,1,0,0,0,0,0,0,0,0,2,2
500,1,0,2,0,0,0,0,0,0,1,4
501,1,0,2,0,1,0,0,0,0,2,1
502,1,2,2,0,1,0,0,0,0,1,3
503,1,2,2,1,1,0,0,0,0,2,8
504,1,2,2,1,1,0,0,0,2,1,6
505,0,0,0,0,0,0,0,0,0,1,4
506,0,0,0,0,1,0,0,0,0,2,3
507,0,0,0,2,1,0,0,0,0,1,0
508,1,0,0,2,1,0,0,0,0,2,7
509,1,0,0,2,1,0,0,2,0,1,8
510,0,0,0,0,0,0,0,0,0,1,0
511,1,0,0,0,0,0,0,0,0,2,4
512,1,0,0,0,2,0,0,0,0,1,6
513,1,0,0,0,2,0,1,0,0,2,3
514,1,0,0,2,2,0,1,0,0,1,1
515,1,1,0,2,2,0,1,0,0,2,2
516,1,1,2,2,2,0,1,0,0,1,5
517,1,1,2,2,2,1,1,0,0,2,8
518,1,1,2,2,2,1,1,0,2,1,7
519,0,0,0,0,0,0,0,0,0,1,0
520,1,0,0,0,0,0,0,0,0,2,1
521,1,2,0,0,0,0,0,0,0,1,4
522,1,2,0,0,1,0,0,0,0,2,6
523,1,2,0,0,1,0,2,0,0,1,8
524,0,0,0,0,0,0,0,0,0,1,0
525,1,0,0,0,0,0,0,0,0,2,7
526,1,0,0,0,0,0,0,2,0,1,4
527,1,0,0,0,1,0,0,2,0,2,6
528,1,0,0,0,1,0,2,2,0,1,1
529,1,1,0,0,1,0,2,2,0,2,2
530,1,1,2,0,1,0,2,2,0,1,8
531,0,0,0,0,0,0,0,0,0,1,0
532,1,0,0,0,0,0,0,0,0,2,2
533,1,0,2,0,0,0,0,0,0,1,4
534,1,0,2,0,1,0,0,0,0,2,3
