,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
195,1,1,2,2,2,0,1,0,0,1,5
196,1,1,2,2,2,1,1,0,0,2,7
197,1,1,2,2,2,1,1,2,0,1,8
198,0,0,0,0,0,0,0,0,0,1,4
199,0,0,0,0,1,0,0,0,0,2,0
200,2,0,0,0,1,0,0,0,0,1,1
201,2,1,0,0,1,0,0,0,0,2,7
202,2,1,0,0,1,0,0,2,0,1,3
203,2,1,0,1,1,0,0,2,0,2,5
204,2,1,0,1,1,2,0,2,0,1,6
205,2,1,0,1,1,2,1,2,0,2,2
206,2,1,2,1,1,2,1,2,0,1,8
207,0,0,0,0,0,0,0,0,0,1,0
208,1,0,0,0,0,0,0,0,0,2,4
209,1,0,0,0,2,0,0,0,0,1,2
210,1,0,1,0,2,0,0,0,0,2,1
211,1,2,1,0,2,0,0,0,0,1,3
212,1,2,1,1,2,0,0,0,0,2,6
213,1,2,1,1,2,0,2,0,0,1,7
214,1,2,1,1,2,0,2,1,0,2,5
215,1,2,1,1,2,2,2,1,0,1,8
216,0,0,0,0,0,0,0,0,0,1,0
217,1,0,0,0,0,0,0,0,0,2,4
218,1,0,0,0,2,0,0,0,0,1,2
219,1,0,1,0,2,0,0,0,0,2,1
220,1,2,1,0,2,0,0,0,0,1,3
221,1,2,1,1,2,0,0,0,0,2,6
222,1,2,1,1,2,0,2,0,0,1,7
223,1,2,1,1,2,0,2,1,0,2,5
224,1,2,1,1,2,2,2,1,0,1,8
225,0,0,0,0,0,0,0,0,0,1,4
226,0,0,0,0,1,0,0,0,0,2,0
227,2,0,0,0,1,0,0,0,0,1,3
228,2,0,0,1,1,0,0,0,0,2,5
229,2,0,0,1,1,2,0,0,0,1,1
230,2,1,0,1,1,2,0,0,0,2,7
231,2,1,0,1,1,2,0,2,0,1,6
232,2,1,0,1,1,2,1,2,0,2,2
233,2,1,2,1,1,2,1,2,0,1,8
234,0,0,0,0,0,0,0,0,0,1,4
235,0,0,0,0,1,0,0,0,0,2,0
236,2,0,0,0,1,0,0,0,0,1,3
237,2,0,0,1,1,0,0,0,0,2,5
238,2,0,0,1,1,2,0,0,0,1,2
239,2,0,1,1,1,2,0,0,0,2,6
240,2,0,1,1,1,2,2,0,0,1,1
241,2,1,1,1,1,2,2,0,0,2,7
242,2,1,1,1,1,2,2,2,0,1,8
243,0,0,0,0,0,0,0,0,0,1,4
244,0,0,0,0,1,0,0,0,0,2,0
245,2,0,0,0,1,0,0,0,0,1,3
246,2,0,0,1,1,0,0,0,0,2,5
247,2,0,0,1,1,2,0,0,0,1,1
248,2,1,0,1,1,2,0,0,0,2,7
249,2,1,0,1,1,2,0,2,0,1,6
250,2,1,0,1,1,2,1,2,0,2,2
251,2,1,2,1,1,2,1,2,0,1,8
252,0,0,0,0,0,0,0,0,0,1,4
253,0,0,0,0,1,0,0,0,0,2,0
254,2,0,0,0,1,0,0,0,0,1,3
255,2,0,0,1,1,0,0,0,0,2,5
256,2,0,0,1,1,2,0,0,0,1,1
257,2,1,0,1,1,2,0,0,0,2,7
258,2,1,0,1,1,2,0,2,0,1,2
259,2,1,1,1,1,2,0,2,0,2,6
260,2,1,1,1,1,2,2,2,0,1,8
261,0,0,0,0,0,0,0,0,0,1,4
262,0,0,0,0,1,0,0,0,0,2,0
263,2,0,0,0,1,0,0,0,0,1,1
264,2,1,0,0,1,0,0,0,0,2,7
265,2,1,0,0,1,0,0,2,0,1,3
266,2,1,0,1,1,0,0,2,0,2,5
267,2,1,0,1,1,2,0,2,0,1,2
268,2,1,1,1,1,2,0,2,0,2,6
269,2,1,1,1,1,2,2,2,0,1,8
270,0,0,0,0,0,0,0,0,0,1,4
271,0,0,0,0,1,0,0,0,0,2,0
272,2,0,0,0,1,0,0,0,0,1,1
273,2,1,0,0,1,0,0,0,0,2,7
274,2,1,0,0,1,0,0,2,0,1,3
275,2,1,0,1,1,0,0,2,0,2,5
276,2,1,0,1,1,2,0,2,0,1,2
277,2,1,1,1,1,2,0,2,0,2,6
278,2,1,1,1,1,2,2,2,0,1,8
279,0,0,0,0,0,0,0,0,0,1,0
280,1,0,0,0,0,0,0,0,0,2,4
281,1,0,0,0,2,0,0,0,0,1,6
282,1,0,0,0,2,0,1,0,0,2,3
283,1,0,0,2,2,0,1,0,0,1,1
284,1,1,0,2,2,0,1,0,0,2,2
285,1,1,2,2,2,0,1,0,0,1,5
286,1,1,2,2,2,1,1,0,0,2,8
287,1,1,2,2,2,1,1,0,2,1,7
288,0,0,0,0,0,0,0,0,0,1,0
289,1,0,0,0,0,0,0,0,0,2,4
290,1,0,0,0,2,0,0,0,0,1,2
291,1,0,1,0,2,0,0,0,0,2,1
292,1,2,1,0,2,0,0,0,0,1,3
293,1,2,1,1,2,0,0,0,0,2,6
294,1,2,1,1,2,0,2,0,0,1,7
295,1,2,1,1,2,0,2,1,0,2,8
296,1,2,1,1,2,0,2,1,2,1,5
297,0,0,0,0,0,0,0,0,0,1,0
298,1,0,0,0,0,0,0,0,0,2,4
299,1,0,0,0,2,0,0,0,0,1,6
300,1,0,0,0,2,0,1,0,0,2,3
301,1,0,0,2,2,0,1,0,0,1,1
302,1,1,0,2,2,0,1,0,0,2,2
303,1,1,2,2,2,0,1,0,0,1,5
304,1,1,2,2,2,1,1,0,0,2,7
305,1,1,2,2,2,1,1,2,0,1,8
306,0,0,0,0,0,0,0,0,0,1,0
307,1,0,0,0,0,0,0,0,0,2,4
308,1,0,0,0,2,0,0,0,0,1,6
309,1,0,0,0,2,0,1,0,0,2,3
310,1,0,0,2,2,0,1,0,0,1,1
311,1,1,0,2,2,0,1,0,0,2,2
312,1,1,2,2,2,0,1,0,0,1,5
313,1,1,2,2,2,1,1,0,0,2,7
314,1,1,2,2,2,1,1,2,0,1,8
315,0,0,0,0,0,0,0,0,0,1,0
316,1,0,0,0,0,0,0,0,0,2,4
317,1,0,0,0,2,0,0,0,0,1,6
318,1,0,0,0,2,0,1,0,0,2,3
319,1,0,0,2,2,0,1,0,0,1,1
320,1,1,0,2,2,0,1,0,0,2,2
321,1,1,2,2,2,0,1,0,0,1,5
322,1,1,2,2,2,1,1,0,0,2,8
323,1,1,2,2,2,1,1,0,2,1,7
324,0,0,0,0,0,0,0,0,0,1,0
325,1,0,0,0,0,0,0,0,0,2,4
326,1,0,0,0,2,0,0,0,0,1,6
327,1,0,0,0,2,0,1,0,0,2,3
328,1,0,0,2,2,0,1,0,0,1,1
329,1,1,0,2,2,0,1,0,0,2,2
330,1,1,2,2,2,0,1,0,0,1,5
331,1,1,2,2,2,1,1,0,0,2,7
332,1,1,2,2,2,1,1,2,0,1,8
333,0,0,0,0,0,0,0,0,0,1,0
334,1,0,0,0,0,0,0,0,0,2,4
335,1,0,0,0,2,0,0,0,0,1,2
